Rank,Country,Population,imfGDP,unGDP,perCapita,Continent
1,Montserrat,4992,0,62051375,12430.1633,America
2,Cook Islands,17564,0,290194195,16522.1017,Oceania
3,Anguilla,15003,0,337520470,22496.8653,America
4,Turks and Caicos Islands,38717,0,917550492,23698.9047,America
5,British Virgin Islands,30231,0,971237110,32127.191,America
6,Sint Maarten,42876,0,1072067039,25003.8959,America
7,Greenland,56770,0,2282927882,40213.6319,America
8,Andorra,77265,0,2858406626,36994.8441,Europe
9,Cura̤ao,164093,0,3121449966,19022.4444,America
10,Cayman Islands,65722,0,3844080626,58490.0129,America
11,French Polynesia,280908,0,5417934152,19287.2191,Oceania
12,Bermuda,62278,0,6127341000,98386.9264,America
13,Liechtenstein,38128,0,6193677543,162444.3334,Europe
14,Monaco,39242,0,6468000877,164823.4258,Europe
15,New Caledonia,285498,0,9445714851,33085.0474,Oceania
16,Palestine,5101414,0,13397100000,2626.1542,Asia
17,North Korea,25778816,0,16788601831,651.2557,Asia
18,Syria,17500658,0,22163075121,1266.4138,Asia
19,Sudan,43849260,0,82887395895,1890.2804,Africa
20,Cuba,11326616,0,89688700000,7918.4021,America
21,Tuvalu,11792,0.049,36697185,3112.0408,Oceania
22,Nauru,10824,0.114,103469824,9559.2964,Oceania
23,Kiribati,119449,0.187,173655146,1453.8016,Oceania
24,Marshall Islands,59190,0.22,183000000,3091.7385,Oceania
25,Palau,18094,0.31,310248000,17146.4574,Oceania
26,Micronesia,115023,0.383,329895643,2868.0841,Oceania
27,Sao Tome and Principe,219159,0.477,342781695,1564.0777,Africa
28,Tonga,105695,0.493,401460313,3798.2905,Oceania
29,Dominica,71986,0.542,581484032,8077.7378,America
30,Comoros,869601,0.726,1149802573,1322.2185,Africa
31,Saint Vincent and the Grenadines,110940,0.864,765318745,6898.4924,America
32,Samoa,198414,0.902,822233281,4144.0286,Oceania
33,Vanuatu,307145,0.942,837519790,2726.7896,Oceania
34,Saint Kitts and Nevis,53199,1.058,909854620,17102.8519,America
35,Grenada,112523,1.272,1016208148,9031.115,America
36,Solomon Islands,686884,1.511,1133967215,1650.8861,Oceania
37,Guinea-Bissau,1968001,1.538,1122643236,570.4485,Africa
38,San Marino,33931,1.62,1590761265,46882.2394,Europe
39,Seychelles,98347,1.654,1433826317,14579.2583,Africa
40,Antigua and Barbuda,97929,1.717,1460157909,14910.3729,America
41,Gambia,2416668,1.741,985831536,407.9301,Africa
42,Saint Lucia,183627,1.971,1397066906,7608.178,America
43,Belize,397628,1.997,1741100000,4378.7158,America
44,Cape Verde,555987,2.042,1638928099,2947.7813,Africa
45,Central African Republic,4829767,2.285,1810388740,374.8398,Africa
46,Djibouti,988000,2.392,1891520369,1914.4943,Africa
47,Lesotho,2142249,2.811,2241017076,1046.1049,Africa
48,Bhutan,771608,2.84,2212642587,2867.5734,Asia
49,Aruba,106766,2.875,2667039106,24980.2288,America
50,East Timor,1318445,3.145,2703285752,2050.3591,Asia
51,South Sudan,11193725,3.151,6534451826,583.7603,Africa
52,Liberia,5057681,3.221,2756817825,545.0755,Africa
53,Burundi,11890784,3.573,2873699606,241.6745,Africa
54,Suriname,586632,3.683,3278445033,5588.5888,America
55,Guyana,786552,3.83,3436626633,4369.23,America
56,Sierra Leone,7976983,3.998,3674756785,460.67,Africa
57,Eswatini,1160164,4.662,4007002048,3453.8238,Africa
58,Barbados,287375,5.207,4552793288,15842.6909,America
59,Fiji,896445,5.324,4671118364,5210.7138,Oceania
60,Montenegro,628066,5.443,4373958354,6964.1699,Europe
61,Mauritania,4649658,5.569,4667119320,1003.7554,Africa
62,Togo,8278724,5.592,4449262345,537.4333,Africa
63,Maldives,540544,5.749,4224207488,7814.7338,Asia
64,Malawi,19129952,7.436,5318197658,278.0037,Africa
65,Tajikistan,9537645,7.698,6951679338,728.8675,Asia
66,Eritrea,3546421,7.718,5413804303,1526.5543,Africa
67,Somalia,15893222,7.903,1318057519,82.9321,Africa
68,Kyrgyzstan,6524195,8.334,6551291140,1004.1532,Asia
69,Haiti,11402528,9.602,7647347306,670.6712,America
70,Niger,24206644,9.724,7528285819,311.0008,Africa
71,Rwanda,12952218,10.211,8473784827,654.2343,Africa
72,Republic of the Congo,5518087,11.162,7778081883,1409.5613,Africa
73,Benin,12123200,11.184,8893638002,733.6048,Africa
74,Chad,16425864,11.372,11267295771,685.9484,Africa
75,Moldova,4033963,12.037,6772647958,1678.9068,Europe
76,Equatorial Guinea,1402985,12.432,10677940568,7610.8729,Africa
77,Nicaragua,6624554,12.612,13230214875,1997.148,America
78,Guinea,13132795,12.623,8476136811,645.4176,Africa
79,Madagascar,27691018,12.734,11222263845,405.2673,Africa
80,North Macedonia,2083374,12.884,10745782586,5157.875,Europe
81,Armenia,2963243,13.105,10572299425,3567.8139,Asia
82,Bahamas,393244,13.262,11261800000,28638.1992,America
83,Brunei,437479,13.325,11400266878,26059.0037,Asia
84,Mongolia,3278290,13.696,11160356685,3404.3226,Asia
85,Namibia,2540905,13.961,10947277246,4308.4166,Africa
86,Mauritius,1271768,14.812,12216235024,9605.7103,Africa
87,Burkina Faso,20903273,14.882,11695117109,559.4874,Africa
88,Malta,441543,15.134,10998577038,24909.4132,Europe
89,Mozambique,31255435,15.372,10930131568,349.7034,Africa
