Species	 Total	 Standard  Praeanal  Praedorsal  Head	Tail	Front	Abdomen	 Barbel	 Mouth	 Eyes
exu	93,54	69,47	54,3	35,54	19,6	7,36	16,15	14,22	3,98	4,05	3
exu	55,42	41,55	31,58	20,36	12,08	4,2	8,92	7,84	2,18	2,76	2
exu	NA	89,64	69,44	45,29	22,51	9,23	18,06	16,93	6,4	5,64	2
exu	NA	81,33	63,66	41,91	22,11	8,02	17,77	15,37	5,4	4,99	2
exu	82,07	62,89	48,89	33,71	19,41	6,68	13,47	11,82	4,26	4,92	2
exu	83,11	63,16	47,97	32,14	19,02	6,96	13,91	12,65	4,84	4,49	2
exu	68,98	54,56	42,46	28,26	15,38	5,59	10,7	10,27	2,72	3,52	3
exu	119,52	92,45	74,65	49,26	25,25	8,77	19,78	17,25	6,42	6,16	2
exu	133,31	103,74	84,45	54,92	28,16	9,3	22,7	18,74	6,64	7,41	2
exu	79,84	62,24	47,68	32,25	17,25	5,87	13,22	11,63	4,66	3,94	1
exu	113,69	88,58	69,22	44,58	24,33	8,94	18,97	17,19	4,83	5,82	2
exu	115,25	87,95	69,5	44,9	24,65	9,32	20,08	17,24	6,76	6,34	2
exu	85,69	65,72	52,39	34,65	18	6,82	14,72	12,5	3,84	5,26	2
exu	77,78	59,13	47,15	30,63	16,34	5,97	13,01	10,82	3,95	3,58	3
exu	63,4	47,94	37,75	25,47	13,82	4,88	10,69	9,24	2,69	2,94	2
exu	67,66	51,61	41,48	26,98	15,34	5,05	10,78	9,78	3,64	3,27	2
exu	64,35	48,82	38,32	25,22	13,89	4,93	10,83	9,52	2,7	3,14	3
exu	71,19	53,59	40,98	27,61	14,76	5,44	11,75	10,65	3,26	3,31	2
